Div;Date;Time;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
SP1;11/08/2023;18:30:00;Almeria;Vallecano;0;2;A;0;2;A;19;10;5;4;16;25;8;3;1;3;0;0
SP1;11/08/2023;21:00:00;Sevilla;Valencia;1;2;A;0;0;D;9;10;3;3;15;17;8;1;3;2;1;0
SP1;12/08/2023;16:00:00;Sociedad;Girona;1;1;D;1;0;H;15;6;2;1;22;9;4;1;2;5;0;0
SP1;12/08/2023;18:30:00;Las Palmas;Mallorca;1;1;D;1;0;H;5;12;2;2;11;21;3;6;3;2;0;0
SP1;12/08/2023;20:30:00;Ath Bilbao;Real Madrid;0;2;A;0;2;A;7;14;1;8;18;6;7;5;3;1;0;0
SP1;13/08/2023;16:00:00;Celta;Osasuna;0;2;A;0;1;A;11;11;1;5;11;15;7;2;1;1;0;0
SP1;13/08/2023;18:30:00;Villarreal;Betis;1;2;A;0;1;A;18;12;5;5;13;17;9;4;1;3;0;0
SP1;13/08/2023;20:30:00;Getafe;Barcelona;0;0;D;0;0;D;5;14;2;4;20;11;3;4;8;2;1;1
SP1;14/08/2023;18:30:00;Cadiz;Alaves;1;0;H;1;0;H;12;10;3;2;19;15;2;4;3;2;1;0
SP1;14/08/2023;20:30:00;Ath Madrid;Granada;3;1;H;1;0;H;14;7;6;4;15;9;3;3;3;1;0;0
SP1;18/08/2023;18:30:00;Mallorca;Villarreal;0;1;A;0;0;D;8;15;1;3;12;11;6;5;2;4;0;0
SP1;18/08/2023;20:30:00;Valencia;Las Palmas;1;0;H;0;0;D;9;7;4;1;12;6;6;4;0;0;0;0
SP1;19/08/2023;16:00:00;Sociedad;Celta;1;1;D;1;0;H;11;17;2;6;12;12;9;7;2;1;0;0
SP1;19/08/2023;18:30:00;Almeria;Real Madrid;1;3;A;1;1;D;20;24;8;9;10;13;4;5;1;0;0;0
SP1;19/08/2023;20:30:00;Osasuna;Ath Bilbao;0;2;A;0;2;A;18;8;7;2;9;14;5;3;1;5;1;1
SP1;20/08/2023;18:00:00;Girona;Getafe;3;0;H;1;0;H;7;9;6;2;11;20;3;2;2;5;0;0
